what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1598075429274
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1598075429532
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1598075429569
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1598075429737
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1598075429755
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1598075430092
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1598075430109
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1598075430127
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1598075430146
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1598075430192
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1598075430603
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1598075430803
started,bundle,org.eclipse.php.server.core,2.2.0.v20101001-2300,"org.eclipse.php.server.core",1598075430804
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1598075432092
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1598075432677
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1598075432970
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1598075433281
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1598075433901
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1598075434183
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1598075445386
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1598075445531
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1598075445735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598075451684
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598075940937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1598075940969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598075945247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598075980463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1598075980503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598075985679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598076030130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1598076030149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598076041288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598076061220
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1598076061243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598076074228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598076077766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598076079352
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1598076080949
